SEQN,SDDSRVYR,RIDSTATR,RIDEXMON,RIAGENDR,RIDAGEYR,RIDAGEMN,RIDAGEEX,RIDRETH1,DMQMILIT,DMDBORN2,DMDCITZN,DMDYRSUS,DMDEDUC3,DMDEDUC2,DMDSCHOL,DMDMARTL,DMDHHSIZ,DMDFMSIZ,INDHHIN2,INDFMIN2,INDFMPIR,RIDEXPRG,DMDHRGND,DMDHRAGE,DMDHRBR2,DMDHREDU,DMDHRMAR,DMDHSEDU,SIALANG,SIAPROXY,SIAINTRP,FIALANG,FIAPROXY,FIAINTRP,MIALANG,MIAPROXY,MIAINTRP,AIALANG,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA
56584,6,2,1,1,4,57,58,3,0,1,1,0,0,0,0,0,4,4,15,15,5,0,2,31,5,5,1,5,1,1,2,1,2,2,0,0,0,0,34541,36523,2,88
56585,6,2,1,1,2,31,32,3,0,1,1,0,0,0,0,0,3,3,8,8,2,0,1,36,1,5,1,4,1,1,2,1,2,2,0,0,0,0,37154,39285,2,79
56586,6,2,1,1,40,480,480,4,1,1,1,0,0,4,0,3,3,1,8,7,3,0,1,40,1,4,3,0,1,2,2,1,2,2,1,2,2,1,24618,24513,1,82
56587,6,2,2,1,10,120,121,5,0,1,1,0,3,0,1,0,7,7,14,14,2,0,1,45,5,2,1,0,1,1,2,1,2,2,0,0,0,0,37364,37230,1,86
56588,6,2,2,1,80,0,0,3,1,1,1,0,0,5,0,1,2,2,10,10,4,0,1,80,1,5,1,3,1,2,2,1,2,2,1,2,2,0,21378,22213,2,81
56589,6,2,2,2,5,65,65,1,0,1,1,0,0,0,0,0,5,5,6,6,1,0,2,51,2,2,1,0,1,1,2,1,2,2,0,0,0,0,14835,15702,2,75
56590,6,2,1,2,7,90,92,1,0,1,1,0,1,0,2,0,6,6,14,14,3,0,1,26,2,2,5,0,1,1,2,1,2,2,0,0,0,0,10335,10918,1,81
56591,6,2,2,2,80,0,0,3,2,1,1,0,0,4,0,2,1,1,7,7,3,0,2,80,1,4,2,0,1,2,2,1,2,2,1,2,2,0,29691,32858,1,77
56592,6,2,2,2,27,327,328,4,2,1,1,0,0,5,0,5,3,3,5,5,1,2,2,57,1,4,2,0,1,2,2,1,2,2,1,2,2,1,33155,33304,2,81
56593,6,2,2,1,23,283,283,3,2,1,1,0,0,1,0,5,1,1,2,2,0,0,1,23,1,1,5,0,1,1,2,1,1,2,1,2,2,1,35050,35666,1,87
