cat,var,count,uniq_count
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",2,451,367
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",3,325,260
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",1,231,175
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",2,454,338
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",3,259,193
Rice,1,461,317
Rice,2,1060,649
Rice,3,492,346
Rice mixed dishes,1,187,157
Rice mixed dishes,2,324,251
Rice mixed dishes,3,205,172
Rolls and buns,1,379,308
Rolls and buns,2,647,518
Rolls and buns,3,419,356
Salad dressings and vegetable oils,1,450,351
Salad dressings and vegetable oils,2,751,551
Salad dressings and vegetable oils,3,493,383
Saltine crackers,1,110,96
Saltine crackers,2,195,167
Saltine crackers,3,133,109
Sausages,1,205,176
Sausages,2,305,254
Sausages,3,218,191
Seafood mixed dishes,1,106,96
Seafood mixed dishes,2,183,161
Seafood mixed dishes,3,127,112
Shellfish,1,110,81
Shellfish,2,188,160
Shellfish,3,119,91
Soft drinks,1,1059,553
Soft drinks,2,1686,872
Soft drinks,3,1392,659
Soups,1,398,296
Soups,2,896,571
Soups,3,347,263
Soy-based condiments,1,85,71
Soy-based condiments,2,180,138
Soy-based condiments,3,92,66
Sport and energy drinks,1,128,89
Sport and energy drinks,2,210,142
Sport and energy drinks,3,174,132
Stir-fry and soy-based sauce mixtures,1,116,81
Stir-fry and soy-based sauce mixtures,2,240,181
Stir-fry and soy-based sauce mixtures,3,149,110
String beans,1,158,143
String beans,2,257,229
String beans,3,129,121
Sugar substitutes,1,407,201
Sugar substitutes,2,532,253
Sugar substitutes,3,367,182
Sugars and honey,1,848,447
Sugars and honey,2,1374,763
Sugars and honey,3,809,445
Tap water,1,2375,870
Tap water,2,4018,1461
Tap water,3,2187,835
Tea,1,1024,513
Tea,2,1544,780
Tea,3,961,499
Tomato-based condiments,1,601,394
Tomato-based condiments,2,876,607
Tomato-based condiments,3,707,470
Tomatoes,1,553,408
Tomatoes,2,941,684
Tomatoes,3,561,422
"Tortilla, corn, other chips",1,282,228
"Tortilla, corn, other chips",2,435,358
"Tortilla, corn, other chips",3,339,276
Tortillas,1,158,117
Tortillas,2,323,223
Tortillas,3,190,138
"Turkey, duck, other poultry",1,79,70
"Turkey, duck, other poultry",2,130,109
"Turkey, duck, other poultry",3,72,62
Turnovers and other grain-based items,1,63,52
Turnovers and other grain-based items,2,100,92
Turnovers and other grain-based items,3,79,71
Vegetable juice,1,53,37
Vegetable juice,2,94,69
Vegetable juice,3,28,20
Vegetable mixed dishes,1,146,131
Vegetable mixed dishes,2,295,240
Vegetable mixed dishes,3,117,102
"White potatoes, baked or boiled",1,90,83
"White potatoes, baked or boiled",2,165,150
"White potatoes, baked or boiled",3,85,74
Wine,1,138,109
Wine,2,341,233
Wine,3,147,102
Yeast breads,1,1376,807
Yeast breads,2,2313,1333
Yeast breads,3,1329,818
"Yogurt, lowfat and nonfat",1,186,125
"Yogurt, lowfat and nonfat",2,310,224
"Yogurt, lowfat and nonfat",3,172,135
"Yogurt, whole and reduced fat",1,26,21
"Yogurt, whole and reduced fat",2,64,52
"Yogurt, whole and reduced fat",3,30,24
~ALL~,1,39482,1360
~ALL~,2,65417,2185
~ALL~,3,39687,1411
