cat,var,count,uniq_count
"Milk, lowfat",5,25,17
"Milk, nonfat",1,126,60
"Milk, nonfat",2,231,114
"Milk, nonfat",3,291,150
"Milk, nonfat",4,63,43
"Milk, nonfat",5,12,9
"Milk, reduced fat",1,193,103
"Milk, reduced fat",2,463,240
"Milk, reduced fat",3,881,506
"Milk, reduced fat",4,423,249
"Milk, reduced fat",5,87,50
"Milk, whole",1,119,74
"Milk, whole",2,256,138
"Milk, whole",3,529,306
"Milk, whole",4,285,162
"Milk, whole",5,51,32
"Milk, whole",9,3,2
Mustard and other condiments,1,147,114
Mustard and other condiments,2,360,254
Mustard and other condiments,3,675,498
Mustard and other condiments,4,351,270
Mustard and other condiments,5,70,55
Mustard and other condiments,9,1,1
Nachos,1,7,7
Nachos,2,12,12
Nachos,3,28,26
Nachos,4,28,24
Nachos,5,11,8
Not included in a food category,1,31,24
Not included in a food category,2,67,46
Not included in a food category,3,83,71
Not included in a food category,4,39,30
Not included in a food category,5,9,9
Nutrition bars,1,8,5
Nutrition bars,2,35,25
Nutrition bars,3,39,35
Nutrition bars,4,15,10
Nutrition bars,5,1,1
Nutritional beverages,1,7,5
Nutritional beverages,2,42,25
Nutritional beverages,3,63,45
Nutritional beverages,4,26,18
Nutritional beverages,5,15,8
Nutritional beverages,9,1,1
Nuts and seeds,1,333,178
Nuts and seeds,2,608,369
Nuts and seeds,3,840,555
Nuts and seeds,4,296,218
Nuts and seeds,5,54,38
Oatmeal,1,106,70
Oatmeal,2,210,143
Oatmeal,3,289,212
Oatmeal,4,118,88
Oatmeal,5,24,17
"Olives, pickles, pickled vegetables",1,82,58
"Olives, pickles, pickled vegetables",2,171,126
"Olives, pickles, pickled vegetables",3,319,248
"Olives, pickles, pickled vegetables",4,123,106
"Olives, pickles, pickled vegetables",5,30,24
Onions,1,94,83
Onions,2,219,177
Onions,3,408,350
Onions,4,216,173
Onions,5,56,44
Onions,9,1,1
Other Mexican mixed dishes,1,24,20
Other Mexican mixed dishes,2,65,56
Other Mexican mixed dishes,3,201,171
Other Mexican mixed dishes,4,124,103
Other Mexican mixed dishes,5,19,16
Other diet drinks,1,13,7
Other diet drinks,2,44,26
Other diet drinks,3,92,58
Other diet drinks,4,40,31
Other diet drinks,5,15,7
Other fruit juice,1,67,47
Other fruit juice,2,148,109
Other fruit juice,3,308,217
Other fruit juice,4,132,101
Other fruit juice,5,37,29
Other fruits and fruit salads,1,153,104
Other fruits and fruit salads,2,295,218
Other fruits and fruit salads,3,444,318
Other fruits and fruit salads,4,186,140
Other fruits and fruit salads,5,30,26
Other fruits and fruit salads,9,3,2
Other red and orange vegetables,1,48,41
Other red and orange vegetables,2,92,77
Other red and orange vegetables,3,142,127
Other red and orange vegetables,4,40,35
Other red and orange vegetables,5,10,9
Other sandwiches (single code),1,12,11
Other sandwiches (single code),2,51,46
Other sandwiches (single code),3,103,92
Other sandwiches (single code),4,62,54
Other sandwiches (single code),5,15,14
Other starchy vegetables,1,44,39
Other starchy vegetables,2,82,73
Other starchy vegetables,3,176,154
Other starchy vegetables,4,77,62
Other starchy vegetables,5,13,13
Other vegetables and combinations,1,410,209
Other vegetables and combinations,2,784,478
Other vegetables and combinations,3,1134,731
Other vegetables and combinations,4,369,261
Other vegetables and combinations,5,73,50
Other vegetables and combinations,9,2,2
"Pancakes, waffles, French toast",1,41,38
"Pancakes, waffles, French toast",2,110,99
"Pancakes, waffles, French toast",3,234,206
"Pancakes, waffles, French toast",4,76,68
"Pancakes, waffles, French toast",5,25,23
"Pasta mixed dishes, excludes macaroni and cheese",1,75,62
"Pasta mixed dishes, excludes macaroni and cheese",2,197,169
"Pasta mixed dishes, excludes macaroni and cheese",3,407,316
"Pasta mixed dishes, excludes macaroni and cheese",4,148,125
"Pasta mixed dishes, excludes macaroni and cheese",5,34,31
"Pasta mixed dishes, excludes macaroni and cheese",9,1,1
"Pasta sauces, tomato-based",1,17,15
"Pasta sauces, tomato-based",2,39,36
"Pasta sauces, tomato-based",3,72,68
"Pasta sauces, tomato-based",4,35,33
"Pasta sauces, tomato-based",5,6,6
"Pasta, noodles, cooked grains",1,41,36
"Pasta, noodles, cooked grains",2,98,89
"Pasta, noodles, cooked grains",3,141,135
"Pasta, noodles, cooked grains",4,62,56
"Pasta, noodles, cooked grains",5,15,14
Peaches and nectarines,1,42,33
Peaches and nectarines,2,82,66
Peaches and nectarines,3,125,105
Peaches and nectarines,4,61,54
Peaches and nectarines,5,8,8
Pizza,1,57,46
Pizza,2,204,166
Pizza,3,426,338
Pizza,4,267,201
Pizza,5,65,52
Pizza,9,1,1
Popcorn,1,35,32
Popcorn,2,97,84
Popcorn,3,152,141
Popcorn,4,84,81
Popcorn,5,25,24
Pork,1,81,69
Pork,2,160,128
Pork,3,393,326
Pork,4,146,129
Pork,5,24,22
Pork,9,1,1
Potato chips,1,88,76
Potato chips,2,221,181
Potato chips,3,543,449
Potato chips,4,293,255
Potato chips,5,68,54
Poultry mixed dishes,1,68,55
Poultry mixed dishes,2,159,133
Poultry mixed dishes,3,326,274
Poultry mixed dishes,4,156,124
Poultry mixed dishes,5,29,27
Pretzels/snack mix,1,24,19
Pretzels/snack mix,2,83,67
Pretzels/snack mix,3,149,125
Pretzels/snack mix,4,48,42
Pretzels/snack mix,5,13,11
Processed soy products,1,36,27
Processed soy products,2,54,41
Processed soy products,3,39,37
Processed soy products,4,11,8
Protein and nutritional powders,1,27,14
Protein and nutritional powders,2,64,37
Protein and nutritional powders,3,72,51
Protein and nutritional powders,4,18,15
Protein and nutritional powders,5,7,6
Pudding,1,26,20
Pudding,2,46,41
Pudding,3,73,66
Pudding,4,40,34
Pudding,5,2,2
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",1,106,82
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",2,268,213
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",3,438,365
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",4,260,200
"Ready-to-eat cereal, higher sugar (>21.2g/100g)",5,46,36
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",1,131,89
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",2,241,181
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",3,408,306
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",4,158,122
"Ready-to-eat cereal, lower sugar (=<21.2g/100g)",5,29,24
Rice,1,249,150
Rice,2,540,332
Rice,3,920,587
Rice,4,295,220
Rice,5,66,53
Rice,9,2,2
Rice mixed dishes,1,63,50
Rice mixed dishes,2,152,117
Rice mixed dishes,3,330,268
Rice mixed dishes,4,151,127
Rice mixed dishes,5,33,29
Rolls and buns,1,100,76
Rolls and buns,2,298,249
Rolls and buns,3,661,535
Rolls and buns,4,340,274
Rolls and buns,5,82,75
Rolls and buns,9,2,2
Salad dressings and vegetable oils,1,190,137
Salad dressings and vegetable oils,2,433,327
Salad dressings and vegetable oils,3,723,549
Salad dressings and vegetable oils,4,304,230
Salad dressings and vegetable oils,5,70,61
Saltine crackers,1,35,25
Saltine crackers,2,110,95
Saltine crackers,3,212,180
Saltine crackers,4,77,69
Saltine crackers,5,16,14
Sausages,1,71,53
Sausages,2,130,111
Sausages,3,331,281
Sausages,4,162,147
Sausages,5,44,38
Seafood mixed dishes,1,54,45
Seafood mixed dishes,2,88,81
Seafood mixed dishes,3,190,165
Seafood mixed dishes,4,77,70
Seafood mixed dishes,5,17,16
Shellfish,1,47,36
Shellfish,2,107,87
Shellfish,3,152,132
Shellfish,4,103,71
Shellfish,5,18,13
Soft drinks,1,233,128
Soft drinks,2,592,329
Soft drinks,3,1877,965
Soft drinks,4,1192,561
Soft drinks,5,333,151
Soft drinks,9,1,1
Soups,1,174,125
Soups,2,411,272
Soups,3,756,508
Soups,4,291,210
Soups,5,51,45
Soups,9,1,1
Soy-based condiments,1,44,33
Soy-based condiments,2,92,83
Soy-based condiments,3,168,119
Soy-based condiments,4,45,35
Soy-based condiments,5,11,8
Sport and energy drinks,1,32,19
Sport and energy drinks,2,91,66
Sport and energy drinks,3,231,165
Sport and energy drinks,4,138,98
Sport and energy drinks,5,33,24
Stir-fry and soy-based sauce mixtures,1,46,38
Stir-fry and soy-based sauce mixtures,2,148,100
Stir-fry and soy-based sauce mixtures,3,206,155
Stir-fry and soy-based sauce mixtures,4,87,65
Stir-fry and soy-based sauce mixtures,5,28,21
String beans,1,56,50
String beans,2,118,108
String beans,3,259,232
String beans,4,99,92
String beans,5,18,17
String beans,9,1,1
Sugar substitutes,1,123,56
Sugar substitutes,2,334,157
Sugar substitutes,3,565,276
Sugar substitutes,4,241,121
Sugar substitutes,5,64,37
Sugars and honey,1,324,178
Sugars and honey,2,656,350
Sugars and honey,3,1375,743
Sugars and honey,4,613,353
Sugars and honey,5,126,70
Sugars and honey,9,7,2
Tap water,1,973,304
Tap water,2,2264,773
Tap water,3,3633,1402
Tap water,4,1488,600
Tap water,5,379,156
Tap water,9,4,1
Tea,1,401,182
Tea,2,899,441
Tea,3,1465,754
Tea,4,668,367
Tea,5,156,84
Tea,9,8,2
Tomato-based condiments,1,156,113
Tomato-based condiments,2,397,280
Tomato-based condiments,3,977,651
Tomato-based condiments,4,576,372
Tomato-based condiments,5,132,88
Tomato-based condiments,9,2,1
Tomatoes,1,222,165
Tomatoes,2,562,373
Tomatoes,3,882,657
Tomatoes,4,355,282
Tomatoes,5,78,68
"Tortilla, corn, other chips",1,89,68
"Tortilla, corn, other chips",2,222,181
"Tortilla, corn, other chips",3,459,376
"Tortilla, corn, other chips",4,247,198
"Tortilla, corn, other chips",5,64,57
"Tortilla, corn, other chips",9,1,1
Tortillas,1,52,34
Tortillas,2,88,73
Tortillas,3,305,218
Tortillas,4,209,138
Tortillas,5,44,33
