cat,var,count,uniq_count
Frankfurter sandwiches (single code),20,77,68
Frankfurter sandwiches (single code),30,59,54
Frankfurter sandwiches (single code),40,51,47
Frankfurter sandwiches (single code),50,57,54
Frankfurter sandwiches (single code),60,42,41
Frankfurter sandwiches (single code),70,23,22
Frankfurter sandwiches (single code),80,15,13
Frankfurters,0,157,142
Frankfurters,10,52,47
Frankfurters,20,17,15
Frankfurters,30,23,19
Frankfurters,40,15,15
Frankfurters,50,29,23
Frankfurters,60,31,29
Frankfurters,70,9,9
Frankfurters,80,7,7
French fries and other fried white potatoes,0,736,595
French fries and other fried white potatoes,10,624,490
French fries and other fried white potatoes,20,402,311
French fries and other fried white potatoes,30,289,225
French fries and other fried white potatoes,40,285,234
French fries and other fried white potatoes,50,181,158
French fries and other fried white potatoes,60,169,141
French fries and other fried white potatoes,70,74,68
French fries and other fried white potatoes,80,42,38
Fried rice and lo/chow mein,0,130,102
Fried rice and lo/chow mein,10,127,104
Fried rice and lo/chow mein,20,89,67
Fried rice and lo/chow mein,30,98,75
Fried rice and lo/chow mein,40,60,50
Fried rice and lo/chow mein,50,72,56
Fried rice and lo/chow mein,60,39,30
Fried rice and lo/chow mein,70,11,7
Fried rice and lo/chow mein,80,13,8
Fruit drinks,0,1937,1008
Fruit drinks,10,1146,694
Fruit drinks,20,407,272
Fruit drinks,30,345,224
Fruit drinks,40,278,203
Fruit drinks,50,277,178
Fruit drinks,60,246,168
Fruit drinks,70,136,90
Fruit drinks,80,72,50
"Gelatins, ices, sorbets",0,338,277
"Gelatins, ices, sorbets",10,102,91
"Gelatins, ices, sorbets",20,31,29
"Gelatins, ices, sorbets",30,34,28
"Gelatins, ices, sorbets",40,33,28
"Gelatins, ices, sorbets",50,41,35
"Gelatins, ices, sorbets",60,41,36
"Gelatins, ices, sorbets",70,26,23
"Gelatins, ices, sorbets",80,28,22
Grapes,0,334,276
Grapes,10,129,110
Grapes,20,57,50
Grapes,30,78,67
Grapes,40,73,62
Grapes,50,101,73
Grapes,60,103,81
Grapes,70,67,53
Grapes,80,48,36
Grits and other cooked cereals,0,80,58
Grits and other cooked cereals,10,27,24
Grits and other cooked cereals,20,20,20
Grits and other cooked cereals,30,21,18
Grits and other cooked cereals,40,35,31
Grits and other cooked cereals,50,55,45
Grits and other cooked cereals,60,64,56
Grits and other cooked cereals,70,44,33
Grits and other cooked cereals,80,27,18
Ground beef,0,212,195
Ground beef,10,261,234
Ground beef,20,120,110
Ground beef,30,100,87
Ground beef,40,93,85
Ground beef,50,86,77
Ground beef,60,91,82
Ground beef,70,48,46
Ground beef,80,21,20
Human milk,0,1373,130
Ice cream and frozen dairy desserts,0,614,492
Ice cream and frozen dairy desserts,10,436,377
Ice cream and frozen dairy desserts,20,193,162
Ice cream and frozen dairy desserts,30,161,140
Ice cream and frozen dairy desserts,40,177,156
Ice cream and frozen dairy desserts,50,198,167
Ice cream and frozen dairy desserts,60,238,188
Ice cream and frozen dairy desserts,70,178,139
Ice cream and frozen dairy desserts,80,122,97
"Jams, syrups, toppings",0,886,636
"Jams, syrups, toppings",10,434,347
"Jams, syrups, toppings",20,155,129
"Jams, syrups, toppings",30,187,144
"Jams, syrups, toppings",40,179,146
"Jams, syrups, toppings",50,175,140
"Jams, syrups, toppings",60,179,141
"Jams, syrups, toppings",70,132,93
"Jams, syrups, toppings",80,130,90
"Lamb, goat, game",0,8,8
"Lamb, goat, game",10,11,11
"Lamb, goat, game",20,13,12
"Lamb, goat, game",30,13,10
"Lamb, goat, game",40,9,9
"Lamb, goat, game",50,15,13
"Lamb, goat, game",60,19,18
"Lamb, goat, game",70,5,4
"Lamb, goat, game",80,1,1
Lettuce and lettuce salads,0,369,307
Lettuce and lettuce salads,10,571,432
Lettuce and lettuce salads,20,394,308
Lettuce and lettuce salads,30,376,283
Lettuce and lettuce salads,40,393,289
Lettuce and lettuce salads,50,446,308
Lettuce and lettuce salads,60,439,300
Lettuce and lettuce salads,70,255,168
Lettuce and lettuce salads,80,136,93
Liquor and cocktails,10,18,16
Liquor and cocktails,20,141,107
Liquor and cocktails,30,94,63
Liquor and cocktails,40,71,55
Liquor and cocktails,50,103,75
Liquor and cocktails,60,71,48
Liquor and cocktails,70,33,28
Liquor and cocktails,80,24,16
Liver and organ meats,0,5,4
Liver and organ meats,10,2,2
Liver and organ meats,20,9,8
Liver and organ meats,30,5,5
Liver and organ meats,40,2,2
Liver and organ meats,50,7,6
Liver and organ meats,60,6,6
Liver and organ meats,70,5,5
Liver and organ meats,80,3,3
Macaroni and cheese,0,391,346
Macaroni and cheese,10,194,177
Macaroni and cheese,20,91,84
Macaroni and cheese,30,94,79
Macaroni and cheese,40,52,49
Macaroni and cheese,50,48,43
Macaroni and cheese,60,53,49
Macaroni and cheese,70,25,23
Macaroni and cheese,80,19,18
Margarine,0,245,187
Margarine,10,98,83
Margarine,20,63,52
Margarine,30,95,74
Margarine,40,123,98
Margarine,50,222,157
Margarine,60,242,159
Margarine,70,138,94
Margarine,80,175,95
Mashed potatoes and white potato mixtures,0,285,258
Mashed potatoes and white potato mixtures,10,190,175
Mashed potatoes and white potato mixtures,20,143,125
Mashed potatoes and white potato mixtures,30,119,107
Mashed potatoes and white potato mixtures,40,152,133
Mashed potatoes and white potato mixtures,50,170,145
Mashed potatoes and white potato mixtures,60,141,121
Mashed potatoes and white potato mixtures,70,114,95
Mashed potatoes and white potato mixtures,80,119,95
Mayonnaise,0,329,279
Mayonnaise,10,371,309
Mayonnaise,20,236,188
Mayonnaise,30,239,196
Mayonnaise,40,255,201
Mayonnaise,50,236,181
Mayonnaise,60,218,171
Mayonnaise,70,160,116
Mayonnaise,80,99,78
Meat mixed dishes,0,268,240
Meat mixed dishes,10,208,191
Meat mixed dishes,20,156,129
Meat mixed dishes,30,164,134
Meat mixed dishes,40,159,135
Meat mixed dishes,50,209,184
Meat mixed dishes,60,183,151
Meat mixed dishes,70,112,99
Meat mixed dishes,80,85,72
Melons,0,229,181
Melons,10,112,87
Melons,20,46,36
Melons,30,59,43
Melons,40,96,65
Melons,50,116,82
Melons,60,110,64
Melons,70,65,41
Melons,80,35,25
Milk shakes and other dairy drinks,0,53,50
Milk shakes and other dairy drinks,10,76,73
Milk shakes and other dairy drinks,20,27,24
Milk shakes and other dairy drinks,30,32,28
Milk shakes and other dairy drinks,40,34,28
Milk shakes and other dairy drinks,50,33,28
Milk shakes and other dairy drinks,60,26,23
Milk shakes and other dairy drinks,70,12,11
Milk shakes and other dairy drinks,80,9,8
Milk substitutes,0,136,53
Milk substitutes,10,54,31
Milk substitutes,20,50,30
Milk substitutes,30,69,42
Milk substitutes,40,34,25
Milk substitutes,50,59,43
Milk substitutes,60,86,47
Milk substitutes,70,27,15
Milk substitutes,80,12,9
"Milk, lowfat",0,650,295
"Milk, lowfat",10,396,220
"Milk, lowfat",20,67,46
"Milk, lowfat",30,115,62
"Milk, lowfat",40,88,51
"Milk, lowfat",50,103,52
"Milk, lowfat",60,149,75
"Milk, lowfat",70,132,66
"Milk, lowfat",80,94,44
"Milk, nonfat",0,257,103
"Milk, nonfat",10,193,102
"Milk, nonfat",20,82,50
"Milk, nonfat",30,92,55
"Milk, nonfat",40,113,60
"Milk, nonfat",50,99,57
"Milk, nonfat",60,130,61
"Milk, nonfat",70,72,39
"Milk, nonfat",80,108,41
"Milk, reduced fat",0,1994,840
"Milk, reduced fat",10,886,505
"Milk, reduced fat",20,249,163
"Milk, reduced fat",30,323,192
"Milk, reduced fat",40,273,163
"Milk, reduced fat",50,301,170
"Milk, reduced fat",60,308,163
"Milk, reduced fat",70,269,133
"Milk, reduced fat",80,207,98
"Milk, whole",0,1852,680
"Milk, whole",10,438,277
"Milk, whole",20,191,125
"Milk, whole",30,204,120
"Milk, whole",40,185,102
"Milk, whole",50,194,109
"Milk, whole",60,199,113
"Milk, whole",70,122,64
"Milk, whole",80,87,42
Mustard and other condiments,0,267,223
Mustard and other condiments,10,315,262
Mustard and other condiments,20,243,189
Mustard and other condiments,30,282,215
Mustard and other condiments,40,280,208
Mustard and other condiments,50,272,198
Mustard and other condiments,60,273,191
Mustard and other condiments,70,131,91
Mustard and other condiments,80,65,51
Nachos,0,36,36
Nachos,10,60,57
Nachos,20,28,23
Nachos,30,17,17
Nachos,40,13,13
Nachos,50,7,4
Nachos,60,8,8
Nachos,80,3,3
Not included in a food category,0,198,117
Not included in a food category,10,47,42
Not included in a food category,20,28,23
Not included in a food category,30,39,34
Not included in a food category,40,35,28
Not included in a food category,50,46,38
Not included in a food category,60,43,28
Not included in a food category,70,17,15
Not included in a food category,80,10,6
Nutrition bars,0,22,20
Nutrition bars,10,20,15
Nutrition bars,20,16,16
Nutrition bars,30,33,21
Nutrition bars,40,17,16
Nutrition bars,50,16,12
Nutrition bars,60,10,7
Nutrition bars,80,2,1
Nutritional beverages,0,16,8
Nutritional beverages,10,7,4
Nutritional beverages,20,24,20
Nutritional beverages,30,7,4
Nutritional beverages,40,19,9
Nutritional beverages,50,30,18
Nutritional beverages,60,20,16
Nutritional beverages,70,15,13
Nutritional beverages,80,39,22
Nuts and seeds,0,556,420
Nuts and seeds,10,290,248
Nuts and seeds,20,255,179
Nuts and seeds,30,325,210
Nuts and seeds,40,341,212
Nuts and seeds,50,381,241
Nuts and seeds,60,413,244
Nuts and seeds,70,235,146
Nuts and seeds,80,131,84
Oatmeal,0,251,185
Oatmeal,10,54,48
Oatmeal,20,76,56
Oatmeal,30,62,46
Oatmeal,40,104,81
Oatmeal,50,117,83
Oatmeal,60,163,109
Oatmeal,70,115,80
Oatmeal,80,98,65
"Olives, pickles, pickled vegetables",0,96,88
"Olives, pickles, pickled vegetables",10,101,87
"Olives, pickles, pickled vegetables",20,92,76
